iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.61058,0.60257,0.43911,0.050970394,0.08698793,0.007476427,2025-03-19 12:49:50
280,0.6324,0.61705,0.46673,0.073905595,0.13362382,0.0070937076,2025-03-19 12:51:17
420,0.63955,0.6224,0.47493,0.087163,0.1608725,0.0067267814,2025-03-19 12:52:43
560,0.64268,0.6258,0.47865,0.09297955,0.17306353,0.0064477986,2025-03-19 12:54:09
700,0.6448,0.62813,0.4805,0.0953577,0.17829628,0.006209524,2025-03-19 12:55:35
840,0.64524,0.62857,0.48072,0.095896594,0.17985827,0.00596751,2025-03-19 12:57:02
980,0.64581,0.62805,0.48082,0.095383786,0.17923558,0.00576603,2025-03-19 12:58:28
1120,0.64503,0.62757,0.48084,0.09429339,0.17744121,0.005572863,2025-03-19 12:59:53
1260,0.64393,0.62663,0.48008,0.09293571,0.17503162,0.0054199053,2025-03-19 13:01:19
1400,0.64235,0.62552,0.47682,0.09141244,0.17231429,0.0052553024,2025-03-19 13:02:46
1540,0.64062,0.62462,0.47458,0.08986391,0.1694921,0.0051178904,2025-03-19 13:04:13
1680,0.63899,0.6237,0.47266,0.0883065,0.1666238,0.0049946303,2025-03-19 13:05:40
1820,0.63881,0.62352,0.47241,0.08676186,0.16376701,0.004878371,2025-03-19 13:07:05
1960,0.63684,0.62197,0.46899,0.085242495,0.16094851,0.0047682794,2025-03-19 13:08:30
2100,0.63647,0.62173,0.46822,0.08377546,0.15818638,0.004682277,2025-03-19 13:09:55
2240,0.63568,0.62108,0.46628,0.08232554,0.15548153,0.0045848265,2025-03-19 13:11:20
2380,0.63596,0.62123,0.46673,0.080930695,0.15285546,0.0045030275,2025-03-19 13:12:44
2520,0.63529,0.62032,0.46573,0.079577625,0.15030152,0.0044269464,2025-03-19 13:14:10
2660,0.63457,0.61982,0.46433,0.07825287,0.14781848,0.0043436834,2025-03-19 13:15:35
2800,0.63393,0.61927,0.46324,0.07698086,0.1454158,0.0042730286,2025-03-19 13:17:00
2940,0.63288,0.61822,0.46131,0.07573684,0.14308608,0.0041938284,2025-03-19 13:18:26
3080,0.6324,0.6176,0.46058,0.07456667,0.14084643,0.00414345,2025-03-19 13:19:50
3220,0.63047,0.61612,0.45769,0.073412,0.13867001,0.004076979,2025-03-19 13:21:16
3360,0.63266,0.61695,0.46104,0.07229425,0.13656214,0.004013191,2025-03-19 13:22:41
3500,0.63013,0.6157,0.4574,0.07121805,0.134519,0.0039585223,2025-03-19 13:24:06
