iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.29339,0.33073,0.18748,0.023628898,0.12670292,0.012176224,2025-03-23 22:42:36
280,0.29519,0.32845,0.18914,0.024659242,0.13858885,0.012000386,2025-03-23 22:43:50
420,0.29809,0.32678,0.19106,0.025537837,0.14818364,0.011910519,2025-03-23 22:45:02
560,0.29967,0.3249,0.19228,0.026292844,0.15614685,0.011864606,2025-03-23 22:46:14
700,0.3013,0.32297,0.19332,0.026958,0.1630213,0.011839849,2025-03-23 22:47:25
840,0.30245,0.3212,0.19401,0.02754336,0.1689805,0.01182811,2025-03-23 22:48:37
980,0.30373,0.32012,0.19498,0.028060732,0.1741856,0.011824617,2025-03-23 22:49:49
1120,0.30473,0.32168,0.19578,0.028520258,0.17877318,0.0118254665,2025-03-23 22:51:01
1260,0.30555,0.32243,0.19646,0.028927991,0.18282117,0.011828721,2025-03-23 22:52:13
1400,0.30626,0.32362,0.19726,0.029289752,0.18639672,0.011833395,2025-03-23 22:53:24
1540,0.30676,0.32412,0.19769,0.029609809,0.18955305,0.011838331,2025-03-23 22:54:35
1680,0.30691,0.3243,0.19787,0.029891482,0.19232719,0.011843057,2025-03-23 22:55:47
1820,0.30699,0.32445,0.19796,0.030138334,0.19475777,0.011847279,2025-03-23 22:56:58
