iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.70064,0.70308,0.58464,0.032020546,0.19416341,0.012604207,2025-03-21 16:17:56
280,0.71166,0.71168,0.60285,0.03363936,0.21415572,0.012223787,2025-03-21 16:18:32
420,0.71782,0.71727,0.61275,0.03467556,0.22695562,0.011980001,2025-03-21 16:18:58
560,0.72195,0.72103,0.61873,0.03537472,0.23570873,0.0118038505,2025-03-21 16:19:24
700,0.72572,0.72447,0.62383,0.035906725,0.24232058,0.011674681,2025-03-21 16:19:50
840,0.72836,0.72673,0.62741,0.03633563,0.2476054,0.011575087,2025-03-21 16:20:17
980,0.72995,0.72812,0.62968,0.036688384,0.2519174,0.011496626,2025-03-21 16:20:44
1120,0.73106,0.72907,0.63121,0.036983013,0.2554952,0.011433487,2025-03-21 16:21:09
1260,0.7317,0.7299,0.63222,0.037233625,0.2585057,0.011383044,2025-03-21 16:21:35
1400,0.73216,0.7303,0.63281,0.037450153,0.26107976,0.01134218,2025-03-21 16:22:02
1540,0.73236,0.7305,0.63302,0.03763837,0.26330307,0.011308053,2025-03-21 16:22:28
