iter,nmi,acc,ari,L,Lc,Lr,timestamp
140,0.59704,0.63552,0.47252,0.06207887,0.11120975,0.012947947,2025-03-21 23:49:48
280,0.6172,0.64472,0.48824,0.08110318,0.1464605,0.015745709,2025-03-21 23:50:55
420,0.63695,0.65863,0.5075,0.09432224,0.17029883,0.018345565,2025-03-21 23:52:00
560,0.64938,0.66735,0.52002,0.10374778,0.18686387,0.020631664,2025-03-21 23:53:06
700,0.65467,0.6706,0.52503,0.110700496,0.19882117,0.022579808,2025-03-21 23:54:11
840,0.65781,0.67275,0.52764,0.115890674,0.2076026,0.024178762,2025-03-21 23:55:17
980,0.66075,0.67497,0.53011,0.11983756,0.21419416,0.025480999,2025-03-21 23:56:22
1120,0.66172,0.67565,0.5306,0.122900665,0.2192509,0.026550416,2025-03-21 23:57:27
1260,0.66169,0.67555,0.53069,0.12533961,0.22324292,0.027436223,2025-03-21 23:58:33
1400,0.66141,0.67547,0.53052,0.12729499,0.2264105,0.028179556,2025-03-21 23:59:37
1540,0.66106,0.67535,0.53028,0.12887892,0.22895364,0.028804421,2025-03-22 00:00:40
1680,0.66103,0.67537,0.53025,0.13018699,0.2310414,0.029332884,2025-03-22 00:01:44
1820,0.66094,0.67537,0.53019,0.13129322,0.23280336,0.029783325,2025-03-22 00:02:47
