iter,nmi,acc,ari,L,Lr,Lc,timestamp
140,0.67554,0.74942,0.58833,0.059308406,0.08948494,0.014565933,2025-03-18 12:01:49
280,0.69731,0.75633,0.60427,0.0784176,0.12182519,0.01750502,2025-03-18 12:03:19
420,0.70428,0.75678,0.60737,0.09003248,0.14084342,0.019610804,2025-03-18 12:04:48
560,0.70051,0.75027,0.59934,0.09468512,0.14883654,0.020266848,2025-03-18 12:06:20
700,0.7011,0.75168,0.60145,0.09527828,0.15037541,0.020090578,2025-03-18 12:07:50
840,0.70087,0.75283,0.6031,0.09387718,0.14876978,0.019492308,2025-03-18 12:09:21
980,0.70037,0.75297,0.60324,0.09171962,0.14582905,0.018805124,2025-03-18 12:10:51
1120,0.70032,0.75382,0.6039,0.08934678,0.1424606,0.018116467,2025-03-18 12:12:21
1260,0.69971,0.75438,0.60389,0.08696036,0.13900712,0.017456755,2025-03-18 12:13:52
1400,0.69952,0.75465,0.60375,0.08465607,0.13562398,0.016844014,2025-03-18 12:15:23
1540,0.69939,0.75555,0.60482,0.082473785,0.13237602,0.0162857,2025-03-18 12:16:52
